"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,0.824356468174752,0.833926453143535,0.834093371176884,0.833333333333333,0.847524722131415,0.81858407079646,0.825707547169811,0.820339915672528,0.850077279752705,0.841552049751054,0.868055555555556,0.863723608445297,0.813851807742899,0.823675496688742,0.848074888074888,0.86751255617235,0.859106529209622,0.854802069472652,0.83539603960396,0.830367734282325,0.857245337159254,0.85,0.841226075591284,0.842140393814662,0.88606952181987,0.873108265424913,0.870044052863436,0.898081534772182,0.914205344585091,0.915750915750916,0.895638629283489,0.929236499068901,0.940762857543089,0.903307888040712,0.912878787878788,0.917281672816728,0.940040650406504,0.99544567338972,0.994108983799705,1.00354679830503,0.986705965898244,0.963568194680249,0.975,0.976661190792106,0.956284153005464,0.982658959537572,0.986592524558741,1.01056939292233,1.04077027230329,1.04710032172882,0.981404958677686,1.00236546422235,1.0807308894313,1.07848146486549,1.05263157894737,1.04942528735632,1.03734439834025,1.05014807763499,1.05574581430746,1.08695652173913,1.09443631039531,1.04404446520406,1.0947232675293,1.08055009823183,1.13013698630137,1.14298323036187,1.10110452410337,1.1694834369253,1.13037503123367,1.1814534358047,1.23239436619718,1.21474210835322,1.24448967140106,1.27973921357864,1.28600823045267,1.25074493444577,1.23456790123457,1.23413503620594,1.18384401114206,1.18467933491686,1.2028155780866,1.17742882350096,1.21681415929204,1.21984011627907,1.26843657817109,1.2875987318187,1.25956788315467,1.25156445556946,1.24905231235785,1.23267908163841,1.25
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,0.611238868528074,0.646766169154229,0.61479328352446,0.60793275339654,0.614466292134832,0.620166181512221,0.620427881297447,0.627844603381014,0.614466292134832,0.612050767353209,0.613425925925926,0.616730036966229,0.602272727272727,0.609649122807018,0.606709493219129,0.602617079889807,0.608234560199626,0.61000487660152,0.605119703270765,0.596734389348026,0.607936964022603,0.606992234569554,0.610257257348299,0.630157677571471,0.634566326530612,0.63013698630137,0.617283950617284,0.622476446837147,0.618046971569839,0.615384615384615,0.615099819996727,0.609756097560976,0.615801704105345,0.625,0.608829965579909,0.614316239316239,0.606709493219129,0.606709493219129,0.605095541401274,0.605263157894737,0.608873416470123,0.608003560180748,0.601858095793541,0.594405594405594,0.598086124401914,0.605867346938776,0.609276729559748,0.613108715819929,0.625439506346472,0.623971896665384,0.621811224489796,0.628878333205256,0.623111782477341,0.628930817610063,0.633603460821546,0.632911392405063,0.63574719156484,0.638138138138138,0.640604467805519,0.64601844372644,0.648684210526316,0.657312414118072,0.681818181818182,0.667869030739109,0.657153678847894,0.655021834061135,0.670421235981488,0.670411985018727,0.655124005615349,0.66160318399572,0.668154761904762,0.668154761904762,0.689338235294118,0.67921230075608,0.686159770462096,0.665894614939201,0.664459161147903,0.6641973074696,0.661725780836421,0.668167302033173,0.703964406012432,0.721343873517787,0.708762886597938,0.721999714915419,0.734312416555407,0.759109311740891,0.764461423540881,0.753676470588235,0.763554485464598,0.742506934056345,0.748403591022201,0.742203312558305,0.740606936416185,0.759201748332183,0.770393447876532,0.765135455590687,0.786827070973412,0.803921568627451,0.807296650717703,0.808230807086614,0.817584223500411,0.791219921070094
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,0.793650793650794,0.780417957212565,0.759046601347521,0.74424898511502,0.76,0.768916941527643,0.773558368495077,0.77588052421907,0.787215411558669,0.78125,0.776627643808233,0.780392156862745,0.779896013864818,0.767209985959986,0.764931087289433,0.758587786259542,0.7534950958864,0.749892887746358,0.741002117148906,0.747863247863248,0.741430700447094,0.741002117148906,0.752436714708056,0.746569814366425,0.739592559787422,0.741002117148906,0.745833333333333,0.747422680412371,0.74582338902148,0.75,0.754005655042413,0.759803921568627,0.764525993883792,0.764149361405046,0.766835556496138,0.766747376916868,0.764525993883792,0.764172544680589,0.757575757575758,0.757257180722277,0.756827985863276,0.756473668897294,0.753367003367003,0.754041992249539,0.75187969924812,0.758587786259542,0.76129252728684,0.759734093067426,0.767045454545455,0.78125,0.778546963891791,0.786163522012579,0.783587421518456,0.784322382422029,0.784689389789764,0.794130695756563,0.80482263772313,0.803017611637181,0.807102502017756,0.81981853701121,0.834243920959451,0.826446280991736,0.818294120950081,0.80672268907563,0.821715521808229,0.809670321473857,0.850328129105107,0.865225371058571,0.851815148726101,0.857449088960343,0.869628449300655,0.836837678721615,0.856697819314642,0.843881856540084,0.839920948616601,0.86373261433857,0.839281932525505,0.868725868725869,0.882967607105538,0.881901840490798,0.89200477326969,0.925925925925926,0.915841584158416,0.931636095298334,0.944767441860465,0.946252838758516,0.927841775147488,0.928656131173579,0.931994803213426,0.929144385026738,0.944656725195924,0.95311695002576,0.987639426515937,0.994641743399728,0.993878834511438,0.991735537190083,1.01697963882294,1.03644733765508,1.01768769672283
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92957746478873,5,5.03956228956229,5.00569476082005,4.97910863509749,4.98307692307692,5,5.07285033571583,5.17710499111426,5.26315789473684,5.2589031187508,5.30335861321777,5.34090741122004,5.33495145631068,5.27517292524362,5.23519163763066,5.21472392638037,5.27240773286468,5.33690987124464,5.33878253042067,5.2848472879058,5.26935766655203,5.22648083623693,5.21685996929899,5.22648083623693,5.31548071128797,5.34303416074707,5.33900301619492,5.35181876457671,5.35607420706164,5.35714285714286,5.34090741122004,5.34303416074707,5.23012552301255,5.20671655580192,5.14096185737977,5.14874499864102,5.19031141868512,5.07201646090535,5.18216594406687,5.19791222591093,5.22347876004592,5.22922636103152,5.1819184123484,5.21513272410792,5.20833333333333,5.14488964451598,5.13771186440678,5.14512059904669,5.14995313964386,5.11590727418066,5.1380258926777,4.94998507695103,4.90045941807044,5,5.02742230347349,5.0390625,4.98307692307692,4.94350282485876,5,5.07090670761004
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43141945773525,1.47112522513982,1.63333333333333,1.61042944785276,1.53333333333333,1.64591977869986,1.71717171717172,1.70577489983161,1.74026835625075,1.83227176220807,1.82608695652174,1.73649488304094,1.82250396196513,1.73751686909582,1.72402159244264,1.79382183908046,1.89210950080515,1.82608695652174,1.9,2.03010577705452,2.05882352941176,2.02611086231776,2.03242835595777,2.00475841874085
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66111111111111,4.83169350029815,4.73613151888239,4.67771135336485,4.66666666666667,4.68299711815562,4.67292468977321,4.78447414827169,4.89404641775984,5.09065550906555,5.22222222222222,5.14910858995138,5.06482982171799,5.02183406113537,5.10204081632653,5.10837730827686,5.10837730827686,5.17242019302153,5.22222222222222,5.23212361386311,5.21201413427562,5.32898296991883,5.28925619834711,5.25615435795077,5.21183190252008,5.16503888587448,5.18453427065026,5.21349114357093,5.20741394527802,5.21496815286624,5.21327762732851,5.25615435795077,5.20741394527802,5.15322580645161,5.04672870255062,5.02232142857143,5.07982583454282,5.03472222222222,4.83333333333333,5.0808220081805,5.12413309303281,5.18453427065026,5.23721147800414,5.29217199558986,5.235695244647,5.2596561263438,5.16981132075472,5.1731828109139,5.15465729349736,5.18518518518519,5.12820512820513,5.05668675551919,4.78901544907044,4.73636276483559,4.7972602739726,4.79158150229944,4.84845005740528,4.89296636085627,4.84282364566015,4.79242205577157,4.8
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,0.699300699300699,0.687810570433344,0.684375,0.676596354113387,0.704960835509138,0.704136349025452,0.697084917617237,0.680159256801593,0.676213206046142,0.66994633273703,0.664767331433998,0.665399239543726,0.664486986750209,0.665771720085343,0.665622961033354,0.67864314400459,0.679442508710801,0.678335980477207,0.672804532577904,0.671390013495277,0.666666666666667,0.665833333333333,0.663716814159292,0.662040965339335,0.663716814159292,0.667556742323097,0.668058455114823,0.667789001122334,0.661875945537065,0.663775850567045,0.660774410774411,0.663716814159292,0.65028901734104,0.650040086110487,0.654493229380386,0.644654791741258,0.654384416131868,0.662528058361392,0.664715719063545,0.664439495174462,0.662706334616342,0.666243654822335,0.664715719063545,0.671960904092853,0.67478126742889,0.674058291245791,0.67476383265857,0.680477165675071,0.669514079799394,0.67542907871375,0.680159011568707,0.674962292609351,0.674715909090909,0.674962292609351,0.689655172413793,0.693379790940767,0.704592901878914,0.704592901878914,0.691809036211084,0.683728036669213,0.68716577540107,0.696864111498258,0.712489522212909,0.698174006444683,0.713470319634703,0.717852684144819,0.700682806961005,0.720198405449136,0.706106870229008,0.715990453460621,0.724907063197026,0.726895299888001,0.736235595390525,0.757575757575758,0.756579274835212,0.766550522648084,0.778732545649839,0.778732545649839,0.786250505077658,0.802139037433155,0.785396487912434,0.787106446776612,0.797523670793882,0.796991923892516,0.798995318287171,0.795687885010267,0.796170163401942,0.811751184298762,0.840336134453782,0.841857420754562,0.837990118355484,0.847537878787879,0.837945119119973,0.831527865117879
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,0.827205882352941,0.8069270449521,0.761361942968963,0.795671546785487,0.764739229024943,0.76603325415677,0.745839360234093,0.748190712031111,0.747973149909182,0.75046904315197,0.760233918128655,0.746268656716418,0.748916493891368,0.755718954248366,0.757757056779479,0.75753593148989,0.74580484773151,0.738336010202401,0.745038052712133,0.732900850349375,0.728327980273612,0.736114729742622,0.741527426633358,0.740986829374382,0.728976234003656,0.723270440251572,0.725806451612903,0.725408774339695,0.724043715846995,0.72463768115942,0.720732114948551,0.736016410493471,0.730434870978888,0.732530127287259,0.742240215924426,0.741635687732342,0.753110674525213,0.753110674525213,0.765688485618414,0.761145442507173,0.74591280653951,0.745526838966203,0.737530956721578,0.739938080495356,0.738488271068636,0.740878629932986,0.753110674525213,0.761259155368552,0.750107158165452,0.747126436781609,0.746268656716418,0.740034829721362,0.744079401608379,0.750571521881124,0.752212892987682,0.749400479616307,0.766909110778543,0.787722445975165,0.783262182113224,0.778331257783313,0.774823426669287,0.783378746594005,0.777957983366026,0.774693350548741,0.777056277056277,0.77351404824746,0.778510035909904,0.8193315266486,0.8193315266486,0.8193315266486,0.809496135917566,0.812231432427349,0.823610157858614,0.844594594594595,0.841375831653854,0.82297053887963,0.820568927789934,0.811227502658753,0.821167883211679,0.82382762991128,0.843771991555243,0.859845227858985,0.873057959290581,0.88796251543068,0.873362445414847,0.875480974889564,0.869120654396728,0.876897232967787,0.872737886748395,0.879239982854533,0.879662209711471,0.898520084566596,0.914175521284824,0.931200841412109,0.947955390334573,0.946792873516404,0.956022944550669,0.946685154170668,0.947340691032111,0.913129318854886
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71831955922865,1.46198830409357,1.54595588235294,1.56696428571429,1.546875,1.6,1.64705882352941,1.65743587668905,1.92038495188101,2.03868194842407,1.84373712402143,2,1.96386488609584,2.10924885924886
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,0.913792378306365,0.89234561526451,0.891485349909241,0.866731047802994,0.907707910750507,0.916591054205733,0.863930059281129,0.887096774193548,0.888888888888889,0.882352941176471,0.921273031825796,0.908540278619019,0.883002207505519,0.896565223311547,0.924968132580852,0.929909131205674,0.918803418803419,0.901149891371272,0.901201602136182,0.885225885225885,0.849377123442809,0.845974329054842,0.856998847926267,0.855383211678832,0.852676647996553,0.876519012936885,0.8626953824126,0.877926421404682,0.884769367260365,0.883540744627458,0.873161764705882,0.864779874213837,0.872905027932961,0.876829215749883,0.892857142857143,0.895061728395062,0.893277113291224,0.889021479713604,0.914403886554622,0.87819947043248,0.881925003253762,0.892219387755102,0.899685110211426,0.902856157511914,0.88121546961326,0.863877694620354,0.882464349376114,0.872262773722628,0.865939704939063,0.876807728479272,0.882514651023389,0.904020100502513,0.922916666666667,0.914002205071665,0.908840608730477,0.890805992363942,0.887133464439813,0.89344262295082,0.919439579684764,0.93984962406015,0.951331324012339,0.941201977839909,0.9765625,0.992647058823529,0.984375,0.971251557624876,0.964812712826334,0.964812712826334,0.967741935483871,0.978260869565217,0.998336106489185,1.01171875,1.00456659680846,1.02491917365335,1.01190476190476,0.987777342446273,0.997746326408402,1.0145366444579,0.997058823529412,0.969813078201953,0.985754751461988,0.983697777033065,0.948334466349422,1.01048986751368,1.04587525150905,1.04712041884817,1.06038329904414,1.05794668294668,1.0752688172043,1.07926397735315,1.0851871947911,1.06804775147387,1.06732348111658,1.05533371363377,1.04503086455974,1.07190710138455,1.07944732297064,1.12013450396956,1.12612612612613,1.13317510135717,1.13683359651102,1.13548095558606,1.12591911764706,1.1233660130719,1.12777838757478
